timestamp_ms,current_A,stack_V,cell00_V,cell01_V,cell02_V,cell03_V,cell04_V,cell05_V
0x00002C4E,0x00000000,0x41C7374C,0x40859168,0x408570A4,0x4085A9FC,0x40858937,0x40858937,0x40855810
0x00002C58,0x00000000,0x41C73127,0x40859168,0x408578D5,0x4085A9FC,0x40858937,0x40858937,0x40855810
0x00002C62,0x00000000,0x41C73B64,0x40858937,0x408578D5,0x4085A9FC,0x40858106,0x40858937,0x40855810
0x00002C6C,0x00000000,0x41C74189,0x40859168,0x408578D5,0x4085A1CB,0x40858106,0x40858937,0x40855810
0x00002C76,0x00000000,0x41C7374C,0x40859168,0x408578D5,0x4085A1CB,0x40858937,0x40858937,0x40855810
0x00002C81,0x00000000,0x41C72D0E,0x40858937,0x408570A4,0x4085B22D,0x40858937,0x40858937,0x40855810
0x00002C8C,0x00000000,0x41C73127,0x40859168,0x408570A4,0x4085A9FC,0x40858106,0x40859168,0x40855810
0x00002C96,0x00000000,0x41C73127,0x40858937,0x408570A4,0x4085A1CB,0x40858106,0x40858106,0x40854FDF
0x00002CA0,0x00000000,0x41C726E9,0x40859168,0x408570A4,0x4085A1CB,0x40858106,0x40858937,0x40855810
0x00002CAA,0x00000000,0x41C722D1,0x40859168,0x408570A4,0x4085A9FC,0x40858937,0x40858937,0x40855810
0x00002CB4,0x00000000,0x41C74189,0x40859168,0x408578D5,0x4085A1CB,0x40858106,0x40858937,0x40855810
0x00002CBE,0x00000000,0x41C73127,0x40859168,0x408570A4,0x4085A9FC,0x40858937,0x40858937,0x40856042
0x00002CC8,0x00000000,0x41C73127,0x40859168,0x408570A4,0x4085A1CB,0x40858106,0x40858937,0x40856042
0x00002CD2,0x00000000,0x41C73127,0x40858937,0x408570A4,0x4085A1CB,0x40858106,0x40859168,0x40855810
0x00002CDC,0x00000000,0x41C73127,0x40859168,0x408578D5,0x4085A9FC,0x40858106,0x40858937,0x40856042
0x00002CE6,0x00000000,0x41C73127,0x40859168,0x408570A4,0x4085A9FC,0x40858106,0x40858937,0x40855810
0x00002CF0,0x00000000,0x41C73B64,0x40859168,0x408570A4,0x4085A9FC,0x40858106,0x40858937,0x40855810
0x00002CFA,0x00000000,0x41C73127,0x40859168,0x408578D5,0x4085A9FC,0x40858106,0x40858937,0x40855810
0x00002D04,0x00000000,0x41C73127,0x40859168,0x408570A4,0x4085A1CB,0x40858937,0x40859168,0x40855810
0x00002D0E,0x00000000,0x41C7374C,0x40859168,0x408578D5,0x4085A9FC,0x40858106,0x40859168,0x40855810
0x00002D18,0x00000000,0x41C7374C,0x40859168,0x408570A4,0x4085A9FC,0x40858937,0x40858937,0x40855810
0x00002D22,0x00000000,0x41C73B64,0x40858937,0x408570A4,0x4085A1CB,0x40858106,0x40858937,0x40855810
0x00002D2C,0x00000000,0x41C73B64,0x40858937,0x408578D5,0x4085A9FC,0x40858937,0x40858937,0x40855810
0x00002D36,0x00000000,0x41C73127,0x40859168,0x408570A4,0x4085A9FC,0x40858106,0x40858937,0x40855810
0x00002D40,0x00000000,0x41C73127,0x40859168,0x408578D5,0x4085A9FC,0x40858937,0x40858937,0x40855810
0x00002D4A,0x00000000,0x41C73B64,0x40859168,0x408570A4,0x4085A9FC,0x40858106,0x40859168,0x40855810
0x00002D54,0x00000000,0x41C72D0E,0x40858937,0x408578D5,0x4085A9FC,0x40858937,0x40858937,0x40855810
0x00002D5E,0x00000000,0x41C722D1,0x4085999A,0x408578D5,0x4085A9FC,0x40858937,0x40858937,0x40855810
0x00002D68,0x00000000,0x41C73127,0x40859168,0x408570A4,0x4085A9FC,0x40858937,0x40858937,0x40855810
0x00002D72,0x00000000,0x41C7374C,0x40859168,0x408570A4,0x4085999A,0x40858106,0x40858937,0x40855810
0x00002D7C,0x00000000,0x41C726E9,0x40859168,0x408570A4,0x4085A9FC,0x40858106,0x40859168,0x40856042
0x00002D86,0x00000000,0x41C73127,0x40859168,0x408570A4,0x4085A9FC,0x40858937,0x40858937,0x40855810
0x00002D90,0x00000000,0x41C73B64,0x40859168,0x408578D5,0x4085A1CB,0x40858106,0x40858937,0x40856042
0x00002D9A,0x00000000,0x41C74189,0x40858937,0x408570A4,0x4085A1CB,0x40858106,0x40859168,0x40855810
0x00002DA4,0x00000000,0x41C7374C,0x40859168,0x408578D5,0x4085A9FC,0x40858937,0x40858937,0x40855810
0x00002DAE,0x00000000,0x41C7374C,0x40859168,0x408570A4,0x4085A1CB,0x40858937,0x40858937,0x40855810
0x00002DB8,0x00000000,0x41C73127,0x40859168,0x408570A4,0x4085A9FC,0x40858106,0x40859168,0x40856042
0x00002DC2,0x00000000,0x41C7374C,0x40858937,0x408570A4,0x4085A9FC,0x40858937,0x40858937,0x40855810
0x00002DCC,0x00000000,0x41C73127,0x40859168,0x408578D5,0x4085A9FC,0x40858937,0x40858937,0x40855810
0x00002DD6,0x00000000,0x41C726E9,0x40859168,0x408578D5,0x4085A9FC,0x40858106,0x40858937,0x40855810
